Rank,"Song Title",Streams,Daily
1,"Friendships (Lost My Love)",174311393,47265
54,Paradise,423398,381
3,Remedy,133213124,33561
4,"Far Away From Home",117481768,10834
5,Follow,109480745,24095
6,"Space Melody (Edward Artemyev) (feat. Leony)",94463352,14711
7,"Faded Love",92919013,19021
8,"Easy Peasy",89723737,17159
9,"I Can Feel",76630044,24236
10,"Fire - Official UEFA EURO 2024 Song",73749616,26930
11,"Merry Christmas Everyone",39548809,662
12,"Somewhere in Between",29023940,5897
13,"Holding On",26894229,12248
14,"Simple Life",26059903,16255
15,"Crazy Love",24305065,5397
16,"Rock n Roll",20911315,16483
17,"Monsoon (feat. Tokio Hotel)",20024262,6306
18,"By Your Side (In My Mind)",17422644,22248
19,"Tell Me Where U Go",15021987,11843
20,"Waking Up",14640853,5821
21,"Summer Of Love",13875535,5561
22,"Show Me Love - Dimitri Vegas Edit",13797962,989
23,"Friendships (Lost My Love) - ATB Remix",13233665,2550
24,"City Lights",8671505,2551
25,"Stop The World",8246034,1198
26,"By Your Side (In My Mind) Part II",4142511,3229
27,"Don't Worry",3848625,37466
28,"Home to Me",3571853,776
29,"Follow - VIZE Remix",3329101,569
30,"Miracle - Edit",2613468,835
31,"Holding On - Macon's HYPERTECHNO Remix",2550868,913
32,"Where Do You Think You Are Going",2546621,138
33,"Merry Holiday (Jingle Bells)",2485576,36
34,"Friendships (Lost My Love) - Gabry Ponte Remix",2226661,496
35,"Tell Me Where U Go (feat. Leony) - Tiësto VIP Mix",2082909,1588
36,"BANG BANG",1911344,2791
37,"Raindrops - Intl. Version",1646447,700
38,"The Weekend",1641270,5782
39,"Rock n Roll (Matt Sassari Remix)",1333854,883
40,"Hypnotic Tango (feat. Leony) - VIZE Edit",1165102,159
41,"Shooting Stars",1084064,2018
42,"Where Do You Think You Are Going (Harris & Ford Remix)",829924,55
43,Lifeline,776338,979
44,"Oldschool Love",687845,1976
45,"By Your Side (In My Mind) Part II [Felix Jaehn Remix]",644601,411
46,"Tell Me Where U Go - goddard. Edit",626548,618
47,"Another Goodbye",595465,560
48,"Say My Name",566773,507
49,"Said It All - Jax Jones Rework",563395,3252
50,"Merry Christmas Everyone - Mixed",533747,36
51,"Never Let Me Down",519476,341
52,"Tell Me Where U Go - DAMIANO x Playmen Edit",519071,292
53,"Love On the Line",473544,310
54,"Waking Up - ESSEL Remix",414901,49
55,"White Lies",381692,296
56,"Simple Life - WITH U & CRÜPO Remix",370711,86
61,"City Lights (Mixed) - Olly James Remix",284344,68
58,"Remedy - Acoustic Version",338967,303
59,Afterglow,337530,1189
60,"Your Way",326720,801
61,Miracle,266021,135
62,"What If",219631,417
63,"One Last Time",214185,164
64,"Thank You (Not so Bad)",196449,159
65,"One in a Million",194085,576
66,"Above and Beyond",192405,146
67,"Faded Love - Acoustic Version",187135,160
68,"I'll Be Alright - Intro",180469,339
69,"City Lights (Mixed)",175160,54
70,"Running Through the Night",170475,489
71,"Count on Me",169802,309
72,"Bad Love",154499,123
73,"No Hard Feelings",151608,124
74,"Cross My Mind",136933,109
75,"Working Title",118294,99
